Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Age,Existing_Loans,Property_Area,Debt_to_Income,Loan_Status
Male,Yes,0,Graduate,No,32359,24802,10.7,300.0,1.0,804,38,3,Urban,0.0624,Y
Female,Yes,0,Not Graduate,No,129334,19224,7.7,360.0,,592,31,1,Urban,0.0144,Y
Female,No,0,Graduate,No,102011,0,25.1,360.0,0.0,503,32,2,Semiurban,0.0683,N
Female,Yes,1,Graduate,No,63925,49666,18.1,180.0,0.0,529,44,0,Rural,0.0885,Y
Male,No,0,Graduate,No,37364,0,24.8,300.0,1.0,786,31,0,Semiurban,0.2212,Y
Male,Yes,2,Graduate,No,80847,16838,27.5,360.0,1.0,841,44,0,Urban,0.0782,Y
Male,No,0,Graduate,No,25167,0,31.6,240.0,1.0,757,45,1,Urban,0.5232,Y
Female,No,1,Graduate,Yes,75985,0,25.6,360.0,0.0,472,55,2,Urban,0.0936,N
Female,Yes,2,Graduate,No,70544,0,11.2,360.0,1.0,654,33,0,Urban,0.0441,Y
Female,Yes,2,Graduate,No,41123,0,28.4,180.0,1.0,850,34,1,Urban,0.3837,Y
Male,Yes,2,Graduate,No,78401,9357,22.9,360.0,1.0,713,21,1,Rural,0.0725,Y
Female,No,1,Graduate,Yes,35468,0,74.7,300.0,1.0,580,28,1,Semiurban,0.702,N
Female,Yes,3+,Not Graduate,Yes,23564,23030,20.2,300.0,0.0,787,27,0,Semiurban,0.1445,Y
Male,Yes,0,Graduate,No,72329,17352,25.3,360.0,1.0,659,44,0,Urban,0.0784,Y
Male,Yes,0,Not Graduate,No,42505,18123,19.0,360.0,1.0,704,58,0,Urban,0.0871,Y
Male,Yes,0,Not Graduate,No,59927,17025,20.7,300.0,1.0,648,44,0,Semiurban,0.0897,Y
Male,Yes,0,Graduate,No,110243,11142,19.9,240.0,0.0,504,49,0,Rural,0.0683,Y
Male,Yes,0,Graduate,No,30911,0,15.5,360.0,1.0,827,30,0,Semiurban,0.1393,Y
Male,Yes,0,Graduate,No,41287,26653,22.3,360.0,0.0,608,25,0,Rural,0.0912,N
Male,No,0,Graduate,No,97228,0,29.2,360.0,1.0,738,35,1,Rural,0.0834,Y
Female,No,0,Graduate,No,61968,0,15.6,360.0,1.0,595,31,3,Urban,0.0699,Y
Male,Yes,0,Not Graduate,No,31260,11963,33.2,360.0,1.0,683,29,2,Urban,0.2134,Y
Male,No,3+,Graduate,No,27515,0,30.8,300.0,1.0,654,40,0,Semiurban,0.3731,Y
Male,No,0,Not Graduate,No,34063,0,11.8,360.0,1.0,636,25,0,Semiurban,0.0962,Y
Male,No,1,Graduate,No,30662,0,,240.0,1.0,752,47,3,Urban,0.1536,Y
Female,Yes,0,Not Graduate,No,49945,72770,26.3,240.0,1.0,680,34,0,Semiurban,0.0893,Y
Male,Yes,3+,Graduate,Yes,46130,60866,14.1,360.0,0.0,652,38,3,Semiurban,0.0366,N
Male,Yes,2,Graduate,Yes,51002,18742,10.7,120.0,0.0,655,39,1,Rural,0.1278,N
Female,No,1,Graduate,No,29132,0,56.3,180.0,1.0,671,33,2,Urban,1.0736,N
Male,Yes,1,Graduate,Yes,42812,17092,11.2,240.0,1.0,751,52,0,Urban,0.0779,Y
Female,Yes,0,Graduate,No,15869,11306,8.1,240.0,1.0,668,21,1,Semiurban,0.1242,Y
Male,Yes,3+,Not Graduate,Yes,47691,74145,12.6,300.0,1.0,639,52,1,Semiurban,0.0345,Y
Male,Yes,2,Graduate,No,79835,10889,23.1,300.0,1.0,615,34,0,Semiurban,0.0849,Y
Female,Yes,2,Not Graduate,No,21756,40450,21.0,180.0,1.0,718,48,1,Rural,0.1875,Y
Female,Yes,1,Graduate,Yes,56484,0,62.3,240.0,1.0,643,40,0,Rural,0.4596,Y
Female,Yes,0,Not Graduate,No,32679,17794,12.7,120.0,1.0,834,47,0,Semiurban,0.2097,Y
Male,Yes,2,Graduate,No,66254,78201,23.1,300.0,1.0,850,37,2,Urban,0.0533,Y
Male,No,0,Graduate,No,48018,0,39.5,360.0,1.0,753,41,1,Semiurban,0.2285,Y
Female,No,1,Not Graduate,No,54304,0,13.5,240.0,0.0,612,50,0,Semiurban,0.1036,N
Male,No,0,Graduate,Yes,45817,0,30.6,360.0,0.0,592,39,0,Rural,0.1855,N
Male,No,3+,Graduate,No,86178,0,6.7,180.0,1.0,850,53,0,Rural,0.0432,Y
Male,Yes,0,Graduate,No,52770,28212,57.7,120.0,1.0,850,42,0,Semiurban,0.5937,Y
Male,Yes,0,Graduate,,31172,6574,36.5,300.0,1.0,692,30,0,Semiurban,0.3223,Y
Female,No,1,Graduate,No,46600,0,13.4,300.0,1.0,692,34,1,Urban,0.0958,Y
Male,Yes,2,Graduate,Yes,36885,30941,33.0,240.0,1.0,739,48,1,Urban,0.2027,Y
Female,Yes,1,Graduate,No,48108,10670,44.2,240.0,1.0,604,24,0,Urban,0.3133,Y
Male,Yes,0,Graduate,No,35958,17244,9.3,120.0,0.0,428,47,0,Urban,0.1457,N
Male,Yes,,Graduate,No,31622,8867,14.0,360.0,1.0,590,34,0,Semiurban,0.096,Y
Male,Yes,2,Graduate,No,49003,19544,45.0,300.0,1.0,683,24,0,Urban,0.2188,Y
Male,Yes,3+,Graduate,,45611,24467,20.9,240.0,1.0,625,40,1,Semiurban,0.1243,Y
Female,Yes,2,Not Graduate,Yes,75507,17426,26.1,360.0,0.0,721,30,2,Semiurban,0.078,N
Female,No,0,Not Graduate,No,36045,0,20.9,120.0,1.0,578,32,2,Semiurban,0.4832,N
Female,Yes,3+,Graduate,No,16475,7123,34.3,240.0,1.0,590,31,0,Semiurban,0.6056,Y
